100.50.53.81,443,192.168.50.154,58910,tcp,60.33534836769104,6490,,0
100.50.53.81,443,192.168.50.154,63918,tcp,45.28600454330444,5530,,0
100.51.143.210,443,192.168.50.154,55280,tcp,60.17758512496948,5889,,0
100.92.106.243,0,192.168.50.154,0,udp,0.0,134,,0
104.18.157.37,443,192.168.50.154,51347,tcp,460.7480342388153,23413,,0
104.208.16.88,443,192.168.50.154,58912,tcp,109.78424715995789,7464,,0
13.107.5.93,443,192.168.50.154,55326,tcp,124.20867490768433,14136,,0
13.107.5.93,443,192.168.50.154,63825,tcp,4.578319311141968,13025,,0
13.226.251.118,443,192.168.50.154,51188,tcp,240.0709891319275,3164,,0
13.226.251.118,443,192.168.50.154,54943,tcp,240.08109641075134,3164,,0
13.226.251.118,443,192.168.50.154,56645,tcp,309.3207061290741,1071,,0
13.226.251.57,443,192.168.50.154,62037,tcp,100.2655737400055,5328,,0
13.226.251.57,443,192.168.50.154,63879,tcp,240.07024788856506,2912,,0
13.226.251.64,443,192.168.50.154,64959,tcp,90.18365406990051,2568,,0
13.69.116.105,443,192.168.50.154,61246,tcp,79.94500660896301,186,,0
140.82.112.25,443,192.168.50.154,50076,tcp,242.0709581375122,1081,,0
140.82.112.25,443,192.168.50.154,53271,tcp,2.2227964401245117,4527,,0
140.82.112.25,443,192.168.50.154,54906,tcp,420.21622467041016,5783,,0
140.82.112.25,443,192.168.50.154,63716,tcp,2.222998857498169,4526,,0
140.82.112.25,443,192.168.50.154,65108,tcp,60.21231150627136,4587,,0
140.82.112.3,443,192.168.50.154,60793,tcp,0.3585188388824463,5328,,0
140.82.112.3,443,192.168.50.154,60796,tcp,0.29108572006225586,5354,,0
140.82.113.25,443,192.168.50.154,62333,tcp,1142.2327110767365,8382,,0
140.82.113.4,443,192.168.50.154,49872,tcp,30.315942764282227,14324,,0
140.82.113.5,443,192.168.50.154,52928,tcp,31.02573823928833,8758,,0
140.82.114.25,443,192.168.50.154,55050,tcp,2.0697576999664307,335,,0
