107.22.219.60,443,192.168.50.154,53264,tcp,60.190232038497925,6011,,0
107.22.230.248,443,192.168.50.154,58504,tcp,0.05359387397766113,293,,0
108.156.201.18,443,192.168.50.154,57740,tcp,135.34037160873413,22075,,0
13.107.253.66,80,192.168.50.154,57433,tcp,0.05849170684814453,4293,,0
13.107.253.66,80,192.168.50.154,57434,tcp,0.0635368824005127,2548,,0
13.107.253.66,80,192.168.50.154,57854,tcp,0.04848766326904297,2517,,0
13.107.253.66,80,192.168.50.154,57855,tcp,0.04833674430847168,2534,,0
13.107.253.66,80,192.168.50.154,57856,tcp,0.053553104400634766,3489,,0
13.107.253.66,80,192.168.50.154,57857,tcp,0.06135296821594238,2877,,0
13.107.253.66,80,192.168.50.154,57858,tcp,0.04423213005065918,2438,,0
13.107.253.66,80,192.168.50.154,57859,tcp,0.06785058975219727,2423,,0
13.107.253.66,80,192.168.50.154,57860,tcp,0.0674281120300293,2693,,0
13.107.253.66,80,192.168.50.154,57861,tcp,0.06766629219055176,2880,,0
13.107.253.66,80,192.168.50.154,57862,tcp,0.0755307674407959,2690,,0
13.107.253.66,80,192.168.50.154,62761,tcp,0.0586695671081543,2760,,0
13.107.5.93,443,192.168.50.154,57275,tcp,4.577759742736816,13021,,0
13.226.251.35,443,192.168.50.154,49216,tcp,59.91607069969177,333,,0
13.226.251.5,443,192.168.50.154,55982,tcp,220.27055954933167,2700,,0
13.226.251.57,443,192.168.50.154,62927,tcp,135.15955758094788,2580,,0
13.226.251.64,443,192.168.50.154,64959,tcp,59.92126536369324,333,,0
140.82.112.25,443,192.168.50.154,54906,tcp,600.0011079311371,2066,,0
140.82.112.25,443,192.168.50.154,65108,tcp,600.0016729831696,2063,,0
140.82.113.6,443,192.168.50.154,51719,tcp,30.304245471954346,5296,,0
140.82.114.5,443,192.168.50.154,49176,tcp,30.271103382110596,5222,,0
142.250.188.42,443,192.168.50.154,54760,tcp,240.10091876983643,7763,,0
142.250.188.42,443,192.168.50.154,64969,udp,407.0209481716156,7187,,0
142.250.188.46,443,192.168.50.154,51155,udp,0.07235836982727051,7727,,0
142.250.188.46,443,192.168.50.154,56580,udp,0.07750272750854492,7694,,0
142.250.72.195,443,192.168.50.154,53243,udp,17.05088973045349,5413,,0
142.250.72.195,443,192.168.50.154,62593,udp,0.06694245338439941,757,,0
142.251.183.188,5228,192.168.50.154,58952,tcp,584.8626120090485,992,,0
142.251.183.84,443,192.168.50.154,63514,udp,0.2523534297943115,8032,,0
142.251.35.131,443,192.168.50.154,53396,tcp,0.0,54,,0
142.251.35.138,443,192.168.50.154,61939,udp,0.07622647285461426,6115,,0
142.251.46.138,443,192.168.50.154,59160,udp,0.07589149475097656,6286,,0
142.251.46.138,443,192.168.50.154,60390,udp,180.93113589286804,8624,,0
142.251.46.142,443,192.168.50.154,57689,udp,0.09267377853393555,7790,,0
142.251.46.142,443,192.168.50.154,61015,udp,0.06228470802307129,7678,,0
142.251.46.142,443,192.168.50.154,64767,udp,0.06310629844665527,7778,,0
150.171.109.225,80,192.168.50.154,53957,tcp,0.02721095085144043,1930,,0
150.171.109.225,80,192.168.50.154,53958,tcp,0.04849100112915039,4095,,0
150.171.109.225,80,192.168.50.154,53959,tcp,0.04413414001464844,2361,,0
150.171.109.225,80,192.168.50.154,53960,tcp,0.07253575325012207,4627,,0
150.171.109.225,80,192.168.50.154,53961,tcp,0.044913530349731445,3349,,0
150.171.109.225,80,192.168.50.154,53962,tcp,0.04708361625671387,2015,,0
150.171.109.225,80,192.168.50.154,53963,tcp,0.05267834663391113,3318,,0
150.171.109.225,80,192.168.50.154,53964,tcp,0.03738236427307129,1600,,0
150.171.109.225,80,192.168.50.154,53965,tcp,0.04271507263183594,2965,,0
150.171.109.225,80,192.168.50.154,53966,tcp,0.07010364532470703,2810,,0
150.171.109.225,80,192.168.50.154,53967,tcp,0.034738779067993164,1279,,0
150.171.109.225,80,192.168.50.154,53968,tcp,0.040476322174072266,2796,,0
150.171.109.225,80,192.168.50.154,53969,tcp,0.04125356674194336,1877,,0
150.171.109.225,80,192.168.50.154,53970,tcp,0.03941774368286133,2248,,0
150.171.109.225,80,192.168.50.154,53971,tcp,0.043061017990112305,3167,,0
150.171.109.225,80,192.168.50.154,53972,tcp,0.05031251907348633,2972,,0
150.171.109.225,80,192.168.50.154,53973,tcp,0.0682220458984375,2871,,0
150.171.109.225,80,192.168.50.154,53974,tcp,0.17632651329040527,5332,,0
150.171.109.225,80,192.168.50.154,53975,tcp,0.07797670364379883,2763,,0
150.171.109.225,80,192.168.50.154,53976,tcp,0.04537773132324219,1891,,0
150.171.109.225,80,192.168.50.154,53977,tcp,0.09325671195983887,2580,,0
150.171.109.225,80,192.168.50.154,53978,tcp,0.060184478759765625,2665,,0
150.171.109.225,80,192.168.50.154,53979,tcp,0.05266284942626953,2614,,0
150.171.109.225,80,192.168.50.154,53980,tcp,0.1238710880279541,5499,,0
150.171.109.225,80,192.168.50.154,53981,tcp,0.11385965347290039,4146,,0
150.171.109.225,80,192.168.50.154,53982,tcp,0.06578874588012695,2307,,0
150.171.109.225,80,192.168.50.154,53983,tcp,0.04205751419067383,2587,,0
150.171.109.225,80,192.168.50.154,53984,tcp,0.043544769287109375,2517,,0
150.171.109.225,80,192.168.50.154,53985,tcp,0.045126914978027344,2866,,0
150.171.109.225,80,192.168.50.154,53986,tcp,0.0638124942779541,2811,,0
150.171.109.225,80,192.168.50.154,53987,tcp,0.049635887145996094,3678,,0
150.171.109.225,80,192.168.50.154,53988,tcp,0.042670488357543945,1304,,0
150.171.109.225,80,192.168.50.154,53989,tcp,0.04431605339050293,2165,,0
150.171.109.225,80,192.168.50.154,53990,tcp,0.0402376651763916,2958,,0
150.171.109.225,80,192.168.50.154,53991,tcp,0.05373644828796387,2489,,0
150.171.109.225,80,192.168.50.154,53992,tcp,0.06688332557678223,2311,,0
150.171.109.225,80,192.168.50.154,53993,tcp,0.0502011775970459,5600,,0
150.171.109.225,80,192.168.50.154,53994,tcp,0.05797719955444336,2189,,0
150.171.109.225,80,192.168.50.154,53995,tcp,0.09044981002807617,3446,,0
150.171.109.225,80,192.168.50.154,53996,tcp,0.08780026435852051,5566,,0
150.171.109.225,80,192.168.50.154,53997,tcp,0.03625917434692383,3322,,0
150.171.109.225,80,192.168.50.154,53998,tcp,0.0635075569152832,1650,,0
150.171.109.225,80,192.168.50.154,53999,tcp,0.0811152458190918,2912,,0
150.171.109.225,80,192.168.50.154,54000,tcp,0.04497694969177246,2605,,0
150.171.109.225,80,192.168.50.154,54001,tcp,0.04375481605529785,2499,,0
150.171.109.225,80,192.168.50.154,54002,tcp,0.03966236114501953,2444,,0
150.171.109.225,80,192.168.50.154,54003,tcp,0.07778310775756836,4141,,0
150.171.109.225,80,192.168.50.154,54004,tcp,0.10492753982543945,3427,,0
150.171.109.225,443,192.168.50.154,55642,tcp,119.97366762161255,48298,,0
150.171.109.225,443,192.168.50.154,58631,tcp,120.07137751579285,48305,,0
150.171.109.225,443,192.168.50.154,61378,tcp,119.97773718833923,48298,,0
150.171.109.226,80,192.168.50.154,54080,tcp,0.041471242904663086,2730,,0
150.171.109.226,80,192.168.50.154,54697,tcp,0.035948753356933594,2715,,0
150.171.109.226,80,192.168.50.154,54698,tcp,0.05098986625671387,2557,,0
150.171.109.226,80,192.168.50.154,54699,tcp,0.03819727897644043,2961,,0
150.171.109.226,80,192.168.50.154,54700,tcp,0.13349008560180664,4442,,0
150.171.109.226,80,192.168.50.154,54701,tcp,0.04287385940551758,4346,,0
150.171.109.226,80,192.168.50.154,54702,tcp,0.042144775390625,2406,,0
